unit,isced11,hlth_pb,sex,age,geo\time	2019 	2014 
PC,ED0-2,DPR,F,Y15-24,SK	1.8 	0 
PC,ED0-2,DPR,F,Y15-24,TR	4.0 	4.2 
PC,ED0-2,DPR,F,Y15-24,UK	: 	7.7 
PC,ED0-2,DPR,F,Y15-29,AT	: 	7.2 
PC,ED0-2,DPR,F,Y15-29,BG	: 	3.0 
PC,ED0-2,DPR,F,Y15-29,CY	: 	0 
PC,ED0-2,DPR,F,Y15-29,CZ	: 	0.8 
PC,ED0-2,DPR,F,Y15-29,DE	: 	16.7 
PC,ED0-2,DPR,F,Y15-29,DK	: 	24.9 
PC,ED0-2,DPR,F,Y15-29,EE	: 	10.9 
PC,ED0-2,DPR,F,Y15-29,EL	: 	0 
PC,ED0-2,DPR,F,Y15-29,ES	: 	4.3 
PC,ED0-2,DPR,F,Y15-29,EU27_2020	: 	6.8 
PC,ED0-2,DPR,F,Y15-29,EU28	: 	6.8 e
PC,ED0-2,DPR,F,Y15-29,FI	: 	8.0 
PC,ED0-2,DPR,F,Y15-29,FR	: 	4.7 
PC,ED0-2,DPR,F,Y15-29,HR	: 	0 
PC,ED0-2,DPR,F,Y15-29,HU	: 	7.4 
PC,ED0-2,DPR,F,Y15-29,IT	: 	2.8 
PC,ED0-2,DPR,F,Y15-29,LT	: 	0.7 
PC,ED0-2,DPR,F,Y15-29,LU	: 	11.1 
PC,ED0-2,DPR,F,Y15-29,LV	: 	3.9 
PC,ED0-2,DPR,F,Y15-29,MT	: 	6.2 
PC,ED0-2,DPR,F,Y15-29,NO	: 	15.3 
PC,ED0-2,DPR,F,Y15-29,PL	: 	3.4 
PC,ED0-2,DPR,F,Y15-29,PT	: 	5.8 
PC,ED0-2,DPR,F,Y15-29,RO	: 	2.9 
PC,ED0-2,DPR,F,Y15-29,SE	: 	15.2 
PC,ED0-2,DPR,F,Y15-29,SI	: 	10.4 
PC,ED0-2,DPR,F,Y15-29,SK	: 	0.9 
PC,ED0-2,DPR,F,Y15-29,TR	: 	5.7 
PC,ED0-2,DPR,F,Y15-29,UK	: 	6.8 
PC,ED0-2,DPR,F,Y15-64,AT	9.3 	8.9 
PC,ED0-2,DPR,F,Y15-64,BE	16.0 	: 
PC,ED0-2,DPR,F,Y15-64,BG	4.4 	8.1 
PC,ED0-2,DPR,F,Y15-64,CY	4.1 	5.4 
PC,ED0-2,DPR,F,Y15-64,CZ	3.9 	6.8 
PC,ED0-2,DPR,F,Y15-64,DE	18.7 	14.5 
PC,ED0-2,DPR,F,Y15-64,DK	20.8 	19.2 
PC,ED0-2,DPR,F,Y15-64,EE	11.0 	11.9 
PC,ED0-2,DPR,F,Y15-64,EL	3.8 	4.7 
PC,ED0-2,DPR,F,Y15-64,ES	6.9 	10.9 
PC,ED0-2,DPR,F,Y15-64,EU27_2020	10.5 	9.2 
PC,ED0-2,DPR,F,Y15-64,EU28	: 	9.7 e
PC,ED0-2,DPR,F,Y15-64,FI	17.1 	8.5 
PC,ED0-2,DPR,F,Y15-64,FR	14.7 	10.0 
PC,ED0-2,DPR,F,Y15-64,HR	11.4 	3.5 
PC,ED0-2,DPR,F,Y15-64,HU	8.7 	18.7 
PC,ED0-2,DPR,F,Y15-64,IE	9.3 	11.0 
PC,ED0-2,DPR,F,Y15-64,IS	15.0 	17.9 
PC,ED0-2,DPR,F,Y15-64,IT	4.6 	4.4 
PC,ED0-2,DPR,F,Y15-64,LT	9.1 	3.6 
PC,ED0-2,DPR,F,Y15-64,LU	20.5 	9.7 
PC,ED0-2,DPR,F,Y15-64,LV	7.5 	6.7 
PC,ED0-2,DPR,F,Y15-64,MT	13.8 	6.7 
PC,ED0-2,DPR,F,Y15-64,NL	11.3 	: 
PC,ED0-2,DPR,F,Y15-64,NO	13.7 	14.2 
PC,ED0-2,DPR,F,Y15-64,PL	5.4 	5.1 
PC,ED0-2,DPR,F,Y15-64,PT	11.2 	14.5 
PC,ED0-2,DPR,F,Y15-64,RO	2.4 	4.1 
PC,ED0-2,DPR,F,Y15-64,RS	2.5 	: 
PC,ED0-2,DPR,F,Y15-64,SE	16.4 	18.9 
PC,ED0-2,DPR,F,Y15-64,SI	11.3 	6.6 
PC,ED0-2,DPR,F,Y15-64,SK	5.3 	4.5 
PC,ED0-2,DPR,F,Y15-64,TR	7.9 	8.1 
PC,ED0-2,DPR,F,Y15-64,UK	: 	14.5 
PC,ED0-2,DPR,F,Y18-24,AT	: 	6.5 
PC,ED0-2,DPR,F,Y18-24,BG	: 	2.7 
PC,ED0-2,DPR,F,Y18-24,CY	: 	: u
PC,ED0-2,DPR,F,Y18-24,CZ	: 	0 u
PC,ED0-2,DPR,F,Y18-24,DE	: 	19.9 
PC,ED0-2,DPR,F,Y18-24,DK	: 	35.7 
PC,ED0-2,DPR,F,Y18-24,EE	: 	8.9 
PC,ED0-2,DPR,F,Y18-24,EL	: 	: u
PC,ED0-2,DPR,F,Y18-24,ES	: 	5.8 
PC,ED0-2,DPR,F,Y18-24,EU27_2020	: 	8.0 
PC,ED0-2,DPR,F,Y18-24,EU28	: 	7.9 e
PC,ED0-2,DPR,F,Y18-24,FI	: 	14.8 u
PC,ED0-2,DPR,F,Y18-24,FR	: 	5.0 
PC,ED0-2,DPR,F,Y18-24,HR	: 	0 u
PC,ED0-2,DPR,F,Y18-24,HU	: 	7.4 
PC,ED0-2,DPR,F,Y18-24,IE	: 	: u
PC,ED0-2,DPR,F,Y18-24,IS	: 	21.3 
PC,ED0-2,DPR,F,Y18-24,IT	: 	2.9 
PC,ED0-2,DPR,F,Y18-24,LT	: 	0 u
PC,ED0-2,DPR,F,Y18-24,LU	: 	16.8 u
PC,ED0-2,DPR,F,Y18-24,LV	: 	5.6 
PC,ED0-2,DPR,F,Y18-24,MT	: 	6.1 u
PC,ED0-2,DPR,F,Y18-24,NO	: 	17.1 
PC,ED0-2,DPR,F,Y18-24,PL	: 	2.0 
PC,ED0-2,DPR,F,Y18-24,PT	: 	6.3 
PC,ED0-2,DPR,F,Y18-24,RO	: 	3.5 
PC,ED0-2,DPR,F,Y18-24,SE	: 	14.6 
PC,ED0-2,DPR,F,Y18-24,SI	: 	3.5 u
PC,ED0-2,DPR,F,Y18-24,SK	: 	0 u
PC,ED0-2,DPR,F,Y18-24,TR	: 	4.9 
PC,ED0-2,DPR,F,Y18-24,UK	: 	5.9 u
PC,ED0-2,DPR,F,Y18-44,AT	: 	8.7 
PC,ED0-2,DPR,F,Y18-44,BG	: 	5.3 
PC,ED0-2,DPR,F,Y18-44,CY	: 	0.6 
PC,ED0-2,DPR,F,Y18-44,CZ	: 	6.5 
PC,ED0-2,DPR,F,Y18-44,DE	: 	16.3 
PC,ED0-2,DPR,F,Y18-44,DK	: 	33.0 
PC,ED0-2,DPR,F,Y18-44,EE	: 	11.0 
PC,ED0-2,DPR,F,Y18-44,EL	: 	5.0 
PC,ED0-2,DPR,F,Y18-44,ES	: 	8.5 
PC,ED0-2,DPR,F,Y18-44,EU27_2020	: 	8.3 
PC,ED0-2,DPR,F,Y18-44,EU28	: 	8.5 e
PC,ED0-2,DPR,F,Y18-44,FI	: 	13.3 u
PC,ED0-2,DPR,F,Y18-44,FR	: 	9.8 
PC,ED0-2,DPR,F,Y18-44,HR	: 	1.8 
PC,ED0-2,DPR,F,Y18-44,HU	: 	14.7 
PC,ED0-2,DPR,F,Y18-44,IE	: 	8.1 
PC,ED0-2,DPR,F,Y18-44,IS	: 	22.9 
PC,ED0-2,DPR,F,Y18-44,IT	: 	2.9 
PC,ED0-2,DPR,F,Y18-44,LT	: 	5.3 
PC,ED0-2,DPR,F,Y18-44,LU	: 	12.9 
PC,ED0-2,DPR,F,Y18-44,LV	: 	6.6 
PC,ED0-2,DPR,F,Y18-44,MT	: 	3.7 
PC,ED0-2,DPR,F,Y18-44,NO	: 	15.4 
PC,ED0-2,DPR,F,Y18-44,PL	: 	3.9 
PC,ED0-2,DPR,F,Y18-44,PT	: 	9.4 
PC,ED0-2,DPR,F,Y18-44,RO	: 	3.8 
PC,ED0-2,DPR,F,Y18-44,SE	: 	17.5 
PC,ED0-2,DPR,F,Y18-44,SI	: 	5.3 
PC,ED0-2,DPR,F,Y18-44,SK	: 	4.2 
PC,ED0-2,DPR,F,Y18-44,TR	: 	7.6 
PC,ED0-2,DPR,F,Y18-44,UK	: 	10.6 
PC,ED0-2,DPR,F,Y18-64,AT	: 	9.1 
PC,ED0-2,DPR,F,Y18-64,BG	: 	8.7 
PC,ED0-2,DPR,F,Y18-64,CY	: 	7.4 
PC,ED0-2,DPR,F,Y18-64,CZ	: 	8.8 
PC,ED0-2,DPR,F,Y18-64,DE	: 	14.2 
PC,ED0-2,DPR,F,Y18-64,DK	: 	21.5 
PC,ED0-2,DPR,F,Y18-64,EE	: 	11.5 
PC,ED0-2,DPR,F,Y18-64,EL	: 	5.4 
PC,ED0-2,DPR,F,Y18-64,ES	: 	11.9 
PC,ED0-2,DPR,F,Y18-64,EU27_2020	: 	9.9 
PC,ED0-2,DPR,F,Y18-64,EU28	: 	10.4 e
PC,ED0-2,DPR,F,Y18-64,FI	: 	10.5 
PC,ED0-2,DPR,F,Y18-64,FR	: 	11.7 
PC,ED0-2,DPR,F,Y18-64,HR	: 	4.5 
PC,ED0-2,DPR,F,Y18-64,HU	: 	21.6 
PC,ED0-2,DPR,F,Y18-64,IE	: 	10.1 
PC,ED0-2,DPR,F,Y18-64,IS	: 	17.4 
PC,ED0-2,DPR,F,Y18-64,IT	: 	4.5 
PC,ED0-2,DPR,F,Y18-64,LT	: 	7.0 
PC,ED0-2,DPR,F,Y18-64,LU	: 	10.1 
PC,ED0-2,DPR,F,Y18-64,LV	: 	8.0 
PC,ED0-2,DPR,F,Y18-64,MT	: 	6.6 
PC,ED0-2,DPR,F,Y18-64,NO	: 	14.8 
PC,ED0-2,DPR,F,Y18-64,PL	: 	6.0 
PC,ED0-2,DPR,F,Y18-64,PT	: 	15.7 
PC,ED0-2,DPR,F,Y18-64,RO	: 	4.6 
PC,ED0-2,DPR,F,Y18-64,SE	: 	18.6 
PC,ED0-2,DPR,F,Y18-64,SI	: 	5.8 
PC,ED0-2,DPR,F,Y18-64,SK	: 	6.3 
PC,ED0-2,DPR,F,Y18-64,TR	: 	8.7 
PC,ED0-2,DPR,F,Y18-64,UK	: 	14.7 
PC,ED0-2,DPR,F,Y20-24,AT	: 	8.6 u
PC,ED0-2,DPR,F,Y20-24,BG	: 	1.9 u
PC,ED0-2,DPR,F,Y20-24,CY	: 	: u
PC,ED0-2,DPR,F,Y20-24,CZ	: 	: u
PC,ED0-2,DPR,F,Y20-24,DE	: 	21.3 
PC,ED0-2,DPR,F,Y20-24,DK	: 	: u
PC,ED0-2,DPR,F,Y20-24,EE	: 	8.7 u
PC,ED0-2,DPR,F,Y20-24,EL	: 	: u
PC,ED0-2,DPR,F,Y20-24,ES	: 	7.1 
PC,ED0-2,DPR,F,Y20-24,EU28	: 	7.4 e
PC,ED0-2,DPR,F,Y20-24,FI	: 	: u
PC,ED0-2,DPR,F,Y20-24,FR	: 	1.8 
PC,ED0-2,DPR,F,Y20-24,HR	: 	: u
PC,ED0-2,DPR,F,Y20-24,HU	: 	10.6 u
PC,ED0-2,DPR,F,Y20-24,IE	: 	: u
PC,ED0-2,DPR,F,Y20-24,IS	: 	22.5 u
PC,ED0-2,DPR,F,Y20-24,IT	: 	0 
PC,ED0-2,DPR,F,Y20-24,LT	: 	: u
PC,ED0-2,DPR,F,Y20-24,LU	: 	: u
PC,ED0-2,DPR,F,Y20-24,LV	: 	5.9 u
PC,ED0-2,DPR,F,Y20-24,MT	: 	11.0 u
PC,ED0-2,DPR,F,Y20-24,NO	: 	25.3 
PC,ED0-2,DPR,F,Y20-24,PL	: 	0 u
PC,ED0-2,DPR,F,Y20-24,PT	: 	9.0 
PC,ED0-2,DPR,F,Y20-24,RO	: 	3.5 
PC,ED0-2,DPR,F,Y20-24,SE	: 	20.6 u
PC,ED0-2,DPR,F,Y20-24,SI	: 	: u
PC,ED0-2,DPR,F,Y20-24,SK	: 	: u
PC,ED0-2,DPR,F,Y20-24,TR	: 	4.9 
PC,ED0-2,DPR,F,Y20-24,UK	: 	4.6 u
PC,ED0-2,DPR,F,Y25-29,AT	: 	8.5 u
PC,ED0-2,DPR,F,Y25-29,BG	: 	2.1 u
PC,ED0-2,DPR,F,Y25-29,CY	: 	: u
PC,ED0-2,DPR,F,Y25-29,CZ	: 	: u
PC,ED0-2,DPR,F,Y25-29,DE	: 	17.4 
PC,ED0-2,DPR,F,Y25-29,DK	: 	: u
PC,ED0-2,DPR,F,Y25-29,EE	: 	11.6 u
PC,ED0-2,DPR,F,Y25-29,EL	: 	: u
PC,ED0-2,DPR,F,Y25-29,ES	: 	7.1 
PC,ED0-2,DPR,F,Y25-29,EU28	: 	7.1 e
PC,ED0-2,DPR,F,Y25-29,FI	: 	: u
PC,ED0-2,DPR,F,Y25-29,FR	: 	8.0 
PC,ED0-2,DPR,F,Y25-29,HR	: 	: u
PC,ED0-2,DPR,F,Y25-29,HU	: 	10.5 u
PC,ED0-2,DPR,F,Y25-29,IE	: 	: u
PC,ED0-2,DPR,F,Y25-29,IS	: 	23.6 u
PC,ED0-2,DPR,F,Y25-29,IT	: 	1.1 
PC,ED0-2,DPR,F,Y25-29,LT	: 	: u
PC,ED0-2,DPR,F,Y25-29,LU	: 	: u
PC,ED0-2,DPR,F,Y25-29,LV	: 	: u
PC,ED0-2,DPR,F,Y25-29,MT	: 	3.0 u
PC,ED0-2,DPR,F,Y25-29,NO	: 	15.9 u
PC,ED0-2,DPR,F,Y25-29,PL	: 	9.2 u
PC,ED0-2,DPR,F,Y25-29,PT	: 	9.5 
PC,ED0-2,DPR,F,Y25-29,RO	: 	4.8 
PC,ED0-2,DPR,F,Y25-29,SE	: 	: u
PC,ED0-2,DPR,F,Y25-29,SI	: 	: u
PC,ED0-2,DPR,F,Y25-29,SK	: 	: u
PC,ED0-2,DPR,F,Y25-29,TR	: 	9.8 
PC,ED0-2,DPR,F,Y25-29,UK	: 	5.8 
PC,ED0-2,DPR,F,Y25-34,AT	6.6 	8.9 
PC,ED0-2,DPR,F,Y25-34,BE	25.8 	: 
PC,ED0-2,DPR,F,Y25-34,BG	1.4 	6.2 
PC,ED0-2,DPR,F,Y25-34,CY	3.2 u	0 u
PC,ED0-2,DPR,F,Y25-34,CZ	4.2 u	: u
